,TRACTID,cluster
0,36005000200,Stable
1,36005000400,Gentrifying
2,36005001600,Stable
3,36005001900,Gentrifying
4,36005002000,Gentrifying
5,36005002300,Stable
6,36005002500,Stable
7,36005002701,Stable
8,36005002702,Gentrifying
9,36005002800,Stable
10,36005003100,Stable
11,36005003300,Gentrifying
12,36005003500,Stable
13,36005003800,Stable
14,36005003900,Gentrifying
15,36005004001,Stable
16,36005004100,Gentrifying
17,36005004200,Stable
18,36005004300,Gentrifying
19,36005004400,Stable
20,36005004600,Stable
21,36005004800,Stable
22,36005005001,Stable
23,36005005002,Stable
24,36005005100,Gentrifying
25,36005005200,Stable
26,36005005300,Stable
27,36005005400,Stable
28,36005005600,Stable
29,36005005902,Stable
30,36005006000,Stable
31,36005006100,Stable
32,36005006200,Stable
33,36005006300,Gentrifying
34,36005006400,Stable
35,36005006500,Stable
36,36005006700,Stable
37,36005006800,Stable
38,36005006900,Gentrifying
39,36005007000,Stable
40,36005007100,Stable
41,36005007200,Stable
42,36005007300,Stable
43,36005007400,Stable
44,36005007500,Stable
45,36005007600,Stable
46,36005007700,Gentrifying
47,36005007800,Stable
48,36005007900,Stable
49,36005008300,Stable
50,36005008400,Stable
51,36005008500,Stable
52,36005008600,Stable
53,36005008700,Stable
54,36005008900,Stable
55,36005009000,Stable
56,36005009200,Stable
57,36005009300,Stable
58,36005009600,Stable
59,36005009800,Stable
60,36005011502,Gentrifying
61,36005011700,Gentrifying
62,36005011800,Mixture
63,36005011900,Gentrifying
64,36005012101,Stable
65,36005012102,Gentrifying
66,36005012300,Gentrifying
67,36005012500,Stable
68,36005012701,Stable
69,36005012901,Stable
70,36005013000,Mixture
71,36005013100,Stable
72,36005013200,Mixture
73,36005013300,Stable
74,36005013500,Stable
75,36005013800,Stable
76,36005014100,Gentrifying
77,36005014400,Stable
78,36005014500,Stable
79,36005014701,Stable
80,36005014702,Stable
81,36005014900,Stable
82,36005015100,Stable
83,36005015200,Mixture
84,36005015300,Gentrifying
85,36005015500,Stable
86,36005015700,Stable
87,36005015800,Mixture
88,36005015900,Stable
89,36005016000,Mixture
90,36005016100,Stable
91,36005016200,Mixture
92,36005016400,Mixture
93,36005016500,Stable
94,36005016600,Mixture
95,36005016700,Gentrifying
96,36005016900,Stable
97,36005017300,Stable
98,36005017500,Stable
99,36005017701,Stable
100,36005017702,Stable
101,36005017901,Stable
102,36005017902,Stable
103,36005018101,Stable
104,36005018102,Stable
105,36005018301,Stable
106,36005018302,Stable
107,36005018400,Mixture
108,36005018500,Stable
109,36005018900,Stable
110,36005019300,Stable
111,36005019400,Mixture
112,36005019500,Stable
113,36005019700,Stable
114,36005019900,Stable
115,36005020000,Stable
116,36005020100,Stable
117,36005020200,Stable
118,36005020400,Stable
119,36005020501,Stable
120,36005020502,Stable
121,36005020601,Stable
122,36005020900,Stable
123,36005021001,Stable
124,36005021002,Stable
125,36005021100,Stable
126,36005021200,Stable
127,36005021301,Stable
128,36005021302,Stable
129,36005021501,Stable
130,36005021502,Stable
131,36005021601,Stable
132,36005021602,Stable
133,36005021700,Stable
134,36005021800,Stable
135,36005021900,Stable
136,36005022000,Gentrifying
137,36005022101,Stable
138,36005022102,Gentrifying
139,36005022200,Stable
140,36005022300,Stable
141,36005022401,Stable
142,36005022403,Stable
143,36005022404,Stable
144,36005022500,Stable
145,36005022701,Stable
146,36005022702,Gentrifying
147,36005022703,Stable
148,36005022800,Stable
149,36005022901,Stable
150,36005022902,Stable
151,36005023000,Stable
152,36005023100,Stable
153,36005023200,Stable
154,36005023301,Stable
155,36005023302,Stable
156,36005023501,Stable
157,36005023502,Stable
158,36005023600,Stable
159,36005023702,Stable
160,36005023703,Stable
161,36005023704,Stable
162,36005023800,Mixture
163,36005023900,Gentrifying
164,36005024000,Stable
165,36005024100,Stable
166,36005024300,Stable
167,36005024400,Mixture
168,36005024501,Stable
169,36005024502,Stable
170,36005024600,Mixture
171,36005024700,Stable
172,36005024800,Mixture
173,36005025000,Mixture
174,36005025100,Stable
175,36005025200,Mixture
176,36005025300,Stable
177,36005025400,Mixture
178,36005025500,Stable
179,36005025600,Mixture
180,36005025700,Stable
181,36005026100,Stable
182,36005026300,Stable
183,36005026400,Mixture
184,36005026500,Stable
185,36005026601,Mixture
186,36005026602,Mixture
187,36005026701,Stable
188,36005026702,Stable
189,36005026900,Stable
190,36005027300,Stable
191,36005027401,Mixture
192,36005027402,Mixture
193,36005027700,Stable
194,36005027900,Stable
195,36005028100,Stable
196,36005028300,Stable
197,36005028400,Stable
198,36005028500,Stable
199,36005028600,Mixture
200,36005028700,Stable
201,36005028800,Mixture
202,36005028900,Stable
203,36005029301,Stable
204,36005029302,Stable
205,36005029500,Stable
206,36005029600,Stable
207,36005029700,Mixture
208,36005030000,Mixture
209,36005030100,Mixture
210,36005030200,Stable
211,36005030701,Mixture
212,36005030900,Mixture
213,36005031000,Mixture
214,36005031200,Mixture
215,36005031400,Stable
216,36005031600,Mixture
217,36005031800,Mixture
218,36005032300,Stable
219,36005032400,Stable
220,36005032600,Stable
221,36005032800,Stable
222,36005033000,Stable
223,36005033201,Stable
224,36005033202,Stable
225,36005033500,Stable
226,36005033600,Stable
227,36005033700,Stable
228,36005033800,Gentrifying
229,36005034000,Stable
230,36005034200,Stable
231,36005034300,Mixture
232,36005034400,Stable
233,36005034500,Stable
234,36005034800,Stable
235,36005035000,Stable
236,36005035100,Stable
237,36005035600,Stable
238,36005035800,Stable
239,36005035900,Stable
240,36005036000,Stable
241,36005036100,Stable
242,36005036300,Stable
243,36005036400,Stable
244,36005036501,Stable
245,36005036502,Stable
246,36005036700,Stable
247,36005036800,Stable
248,36005036901,Stable
249,36005036902,Stable
250,36005037000,Stable
251,36005037100,Stable
252,36005037200,Stable
